병원,noun,A1
보내다,verb,A1
보다,verb,A1
보다,adverb,A1
보통,adverb,A1
볼펜,noun,A1
봄,noun,A1
부르다,verb,A1
부모님,noun,A1
부산,noun,A1
부엌,noun,A1
부탁,noun,A1
분,unknown,A1
분,unknown,A1
불,noun,A1
불고기,noun,A1
불다,verb,A1
비,noun,A1
비빔밥,noun,A1
비싸다,adjective,A1
비행기,noun,A1
빌리다,verb,A1
빠르다,adjective,A1
빨리,adverb,A1
빵,noun,A1
사,unknown,Unknown
사과,noun,A1
사귀다,verb,A1
사다,verb,A1
사람,noun,A1
사랑,noun,A1
사무실,noun,A1
사십,unknown,A1
사용,noun,A1
사월,noun,A1
사이,noun,A1
사이다,noun,A1
사전,noun,A1
사진,noun,A1
산,noun,A1
산책,noun,A1
살,unknown,A1
살다,verb,A1
삼,unknown,A1
삼계탕,noun,A1
삼십,unknown,A1
삼월,noun,A1
생각,noun,A1
생신,noun,A1
생일,noun,A1
생활,noun,A1
샤워,noun,A1
서른,unknown,A1
서울,noun,A1
서점,noun,A1
선물,noun,A1
선생님,noun,A1
설명,noun,A1
세,unknown,A1
세수,noun,A1
셋,unknown,A1
소개,noun,A1
소금,noun,A1
손,noun,A1
손님,noun,A1
쇼핑,noun,A1
수박,noun,A1
수업,noun,A1
수영,noun,A1
수영장,noun,A1
수요일,noun,A1
수첩,noun,A1
숙제,noun,A1
술,noun,A1
쉬다,verb,A1
쉽다,adjective,A1
슈퍼마켓,noun,A1
스물,unknown,A1
스키,noun,A1
슬프다,adjective,A1
시,noun,A1
시간,noun,A1
시다,adjective,A1
시원하다,adjective,A1
시월,noun,A1
시작,noun,A1
시장,noun,A1
시청,noun,A1
시키다,verb,A1
시험,noun,A1
식당,noun,A1
식사,noun,A1
신다,verb,A1
신문,noun,A1
신발,noun,A1
실례,noun,A1
싫다,adjective,A1
싫어하다,verb,A1
십,unknown,A1
십만,unknown,A1
십이월,noun,A1
십일월,noun,A1
싱겁다,adjective,A1
싸다,adjective,A1
쓰다,verb,A1
쓰다,verb,A1
쓰다,adjective,A1
씨,unknown,A1
씻다,verb,A1
아,unknown,A1
아기,noun,A1
아내,noun,A1
아니다,adjective,A1
아니요,unknown,A1
아래,noun,A1
아르바이트,noun,A1
아름답다,adjective,A1
아버지,noun,A1
아이,noun,A1
아이스크림,noun,A1
아저씨,noun,A1
아주,adverb,A1
아주머니,noun,A1
아직,adverb,A1
아침,noun,A1
아파트,noun,A1
아프다,adjective,A1
아홉,unknown,A1
아흔,unknown,A1
안,noun,A1
안,adverb,A1
안경,noun,A1
안내,noun,A1
안녕,unknown,A1
안녕히,adverb,A1
앉다,verb,A1
알다,verb,A1
알리다,verb,A1
앞,noun,A1
야구,noun,A1
약,unknown,A1
약,noun,A1
약국,noun,A1
약속,noun,A1
어느,unknown,A1
어디,unknown,A1
어떤,unknown,A1
어떻다,adjective,A1
어렵다,adjective,A1
어머니,noun,A1
어서,adverb,A1
어제,adverb,A1
억,unknown,A1
언니,noun,A1
언제,unknown,A1
얼굴,noun,A1
얼마,noun,A1
얼마나,adverb,A1
없다,adjective,A1
에어컨,noun,A1
여권,noun,A1
여기,unknown,A1
여덟,unknown,A1
여동생,noun,A1
여든,unknown,A1
여러,unknown,A1
여러분,unknown,A1
여름,noun,A1
여보세요,unknown,A1
여섯,unknown,A1
여자,noun,A1
여행,noun,A1
여행사,noun,A1
역,noun,A1
연극,noun,A1
연습,noun,A1
연필,noun,A1
열,unknown,A1
열다,verb,A1
열쇠,noun,A1
열심히,adverb,A1
영,noun,A1
영국,noun,A1
영어,noun,A1
영화,noun,A1
영화관,noun,A1
영화배우,noun,A1
옆,noun,A1
예,unknown,A1
예쁘다,adjective,A1
오,unknown,A1
오늘,adverb,A1
오다,verb,A1
오렌지,noun,A1
오른쪽,noun,A1
오빠,noun,A1
오십,unknown,A1
오월,noun,A1
오전,noun,A1
오후,noun,A1
올라가다,verb,A1
올해,noun,A1
옷,noun,A1
와,unknown,A1
왜,adverb,A1
외국,noun,A1
외국어,noun,A1
외국인,noun,A1
왼쪽,noun,A1
요리,noun,A1
요일,noun,A1
요즘,noun,A1
우리,unknown,A1
우산,noun,A1
우유,noun,A1
우체국,noun,A1
우표,noun,A1
운동,noun,A1
운동장,noun,A1
운동화,noun,A1
운전,noun,A1
울다,verb,A1
웃다,verb,A1
원,unknown,A1
월,unknown,A1
월요일,noun,A1
위,noun,A1
유명,noun,A1
유월,noun,A1
육,unknown,A1
육십,unknown,A1
은행,noun,A1
음,unknown,A1
음료수,noun,A1
음식,noun,A1
음악,noun,A1
의사,noun,A1
의자,noun,A1
이,unknown,A1
이,unknown,A1
이것,unknown,A1
이따가,adverb,A1
이름,noun,A1
이번,noun,A1
이십,unknown,A1
이야기,noun,A1
이월,noun,A1
이유,noun,A1
이쪽,unknown,A1
인도네시아,noun,A1
인분,unknown,A1
인사,noun,A1
인천,noun,A1
인터넷,noun,A1
일,noun,A1
일,unknown,A1
일,unknown,A1
일곱,unknown,A1
일본,noun,A1
일어나다,verb,A1
일요일,noun,A1
일월,noun,A1
일주일,noun,A1
일찍,adverb,A1
일흔,unknown,A1
읽다,verb,A1
입,noun,A1
입다,verb,A1
있다,verb,A1
자다,verb,A1
자동차,noun,A1
자전거,noun,A1
자주,adverb,A1
작년,noun,A1
작다,adjective,A1
잔,noun,A1
잘,adverb,A1
잘못,adverb,A1
잘하다,verb,A1
잠,noun,A1
잠깐,adverb,A1
잠시,adverb,A1
잡수시다,verb,A1
잡채,noun,A1
장소,noun,A1
재미없다,adjective,A1
재미있다,adjective,A1
저,unknown,A1
저,unknown,A1
저,unknown,A1
저것,unknown,A1
저기,unknown,A1
저녁,noun,A1
저쪽,unknown,A1
적다,adjective,A1
전,noun,A1
전공,noun,A1
전화,noun,A1
전화번호,noun,A1
점심,noun,A1
정류장,noun,A1
정말,adverb,A1
제,unknown,A1
제일,adverb,A1
제주도,noun,A1
조금,adverb,A1
조용하다,adjective,A1
졸업,noun,A1
좀,adverb,A1
종업원,noun,A1
좋다,adjective,A1
좋아하다,verb,A1
죄송하다,adjective,A1
주,unknown,A1
주다,verb,A1
주로,adverb,A1
주말,noun,A1
주무시다,verb,A1
주부,noun,A1
주소,noun,A1
주스,noun,A1
주인,noun,A1
주일,unknown,A1
준비,noun,A1
중,unknown,A1
중국,noun,A1
지갑,noun,A1
지금,adverb,A1
지나다,verb,A1
지난달,noun,A1
지난주,noun,A1
지난해,noun,A1
지내다,verb,A1
지우개,noun,A1
지하철,noun,A1
지하철역,noun,A1
직업,noun,A1
직원,noun,A1
질문,noun,A1
집,noun,A1
짜다,adjective,A1
쪽,unknown,A1
찍다,verb,A1
참,adverb,A1
참외,noun,A1
창문,noun,A1
찾다,verb,A1
찾아보다,verb,A1
책,noun,A1
책상,noun,A1
처음,noun,A1
천,unknown,A1
천만,unknown,A1
천천히,adverb,A1
청소,noun,A1
초대,noun,A1
초콜릿,noun,A1
추다,verb,A1
축구,noun,A1
축하,noun,A1
출발,noun,A1
춤,noun,A1
춤추다,verb,A1
춥다,adjective,A1
취미,noun,A1
층,noun,A1
치다,verb,A1
치마,noun,A1
친구,noun,A1
친절,noun,A1
친하다,adjective,A1
칠,unknown,A1
칠십,unknown,A1
칠월,noun,A1
칠판,noun,A1
침대,noun,A1
카드,noun,A1
카메라,noun,A1
캐나다,noun,A1
커피,noun,A1
커피숍,noun,A1
컴퓨터,noun,A1
컵,noun,A1
케이크,noun,A1
켜다,verb,A1
코,noun,A1
콘서트,noun,A1
콜라,noun,A1
크다,adjective,A1
키,noun,A1
타다,verb,A1
타다,verb,A1
탁구,noun,A1
태국,noun,A1
태권도,noun,A1
택시,noun,A1
터미널,noun,A1
테니스,noun,A1
텔레비전,noun,A1
토요일,noun,A1
